Time,Propellant mass (kg),Chamber pressure (Pa),Throat diameter (m),Nozzle inlet gamma,Nozzle efficiency,Exit static pressure (Pa),Area ratio,Vapour Density (kg/m^3),Vapour Mass (kg),Liquid Density (kg/m^3),Liquid Mass (kg),Solid Fuel Mass (kg),Solid Fuel Density (kg/m^3),Solid Fuel Outer Diameter (m),Solid Fuel Length (m),Thrust (N)
3.1339999999998764,3.910705586081125,3051271.2204910805,0.026000000000000002,1.2698,0.97,116096.14675367238,4,96.4068809263889,0.6659427566083043,885.2192359698821,1.0584955470598458,2.186267282412975,1208,0.075,0.67,2287.9545072846176
3.135999999999876,3.908586490351528,3051271.2204910805,0.026000000000000002,1.2698,0.97,116096.14675367238,4,96.4068809263889,0.6657972204188956,885.2192359698821,1.0568480030225078,2.1859412669101244,1208,0.075,0.67,2287.9545072846176
3.137999999999876,3.906466893867771,3051271.2204910805,0.026000000000000002,1.2698,0.97,116096.14675367238,4,96.35811041102667,0.6660164227733543,885.3108607218617,1.0548352614124468,2.18561520968197,1208,0.075,0.67,2287.9545072846176
3.139999999999876,3.9043424513074667,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,96.35811041102667,0.6658712766029891,885.3108607218617,1.0531824258327016,2.185288748871776,1208,0.075,0.67,2275.6264594123095
3.1419999999998756,3.902194722766099,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,96.35811041102667,0.6660934795972566,885.3108607218617,1.0511408880392459,2.1849603551295966,1208,0.075,0.67,2275.6264594123095
3.1439999999998753,3.9000505068171845,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,96.30936652024415,0.6663152891140132,885.4024615563214,1.0491029654050394,2.184632252298132,1208,0.075,0.67,2275.6264594123095
3.145999999999875,3.8979088898166716,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,96.30936652024415,0.6661717021283997,885.4024615563214,1.0474328228249168,2.184304364863355,1208,0.075,0.67,2275.6264594123095
3.147999999999875,3.8957668781560235,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,96.26064923213205,0.6663931132718715,885.4940384935601,1.045397320167917,2.183976444716235,1208,0.075,0.67,2275.6264594123095
3.1499999999998747,3.8936280659777873,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,96.26064923213205,0.6662489996762819,885.4940384935601,1.043730276411386,2.1836487898901193,1208,0.075,0.67,2275.6264594123095
3.1519999999998745,3.8914887676691907,3036204.752436252,0.026000000000000002,1.2698,0.97,115522.89096618083,4,96.21195852481274,0.6664699559851035,885.5855915538476,1.0416977169409305,2.1833210947431567,1208,0.075,0.67,2275.6264594123095
